model,direction,Nshape,Ntexture,Nother,Ntotal,shape_bias_pct,coverage_pct
ResNet-50 + linear head,cat -> dog,18,2,0,20,90.0,100.0
ResNet-50 + linear head,dog -> cat,11,5,4,20,68.75,80.0
ResNet-50 + linear head,deer -> horse,12,8,0,20,60.0,100.0
ResNet-50 + linear head,horse -> deer,12,7,1,20,63.1578947368421,95.0
ResNet-50 + linear head,bird -> monkey,10,6,4,20,62.5,80.0
ResNet-50 + linear head,monkey -> bird,3,13,4,20,18.75,80.0
ResNet-50 + linear head,car -> truck,8,12,0,20,40.0,100.0
ResNet-50 + linear head,truck -> car,13,6,1,20,68.42105263157895,95.0
ResNet-50 + linear head,airplane -> ship,9,10,1,20,47.36842105263158,95.0
ResNet-50 + linear head,ship -> airplane,12,8,0,20,60.0,100.0
ViT-B/16 + linear head,cat -> dog,15,4,1,20,78.94736842105263,95.0
ViT-B/16 + linear head,dog -> cat,17,2,1,20,89.47368421052632,95.0
ViT-B/16 + linear head,deer -> horse,20,0,0,20,100.0,100.0
ViT-B/16 + linear head,horse -> deer,17,2,1,20,89.47368421052632,95.0
ViT-B/16 + linear head,bird -> monkey,14,4,2,20,77.77777777777777,90.0
ViT-B/16 + linear head,monkey -> bird,14,6,0,20,70.0,100.0
ViT-B/16 + linear head,car -> truck,15,5,0,20,75.0,100.0
ViT-B/16 + linear head,truck -> car,10,9,1,20,52.63157894736842,95.0
ViT-B/16 + linear head,airplane -> ship,19,1,0,20,95.0,100.0
ViT-B/16 + linear head,ship -> airplane,13,4,3,20,76.47058823529412,85.0
CLIP ViT-B/32 + linear head,cat -> dog,14,2,4,20,87.5,80.0
CLIP ViT-B/32 + linear head,dog -> cat,11,7,2,20,61.111111111111114,90.0
CLIP ViT-B/32 + linear head,deer -> horse,18,2,0,20,90.0,100.0
CLIP ViT-B/32 + linear head,horse -> deer,15,5,0,20,75.0,100.0
CLIP ViT-B/32 + linear head,bird -> monkey,17,1,2,20,94.44444444444444,90.0
CLIP ViT-B/32 + linear head,monkey -> bird,9,8,3,20,52.94117647058823,85.0
CLIP ViT-B/32 + linear head,car -> truck,12,8,0,20,60.0,100.0
CLIP ViT-B/32 + linear head,truck -> car,14,6,0,20,70.0,100.0
CLIP ViT-B/32 + linear head,airplane -> ship,20,0,0,20,100.0,100.0
CLIP ViT-B/32 + linear head,ship -> airplane,7,8,5,20,46.666666666666664,75.0
CLIP ViT-B/32 zero-shot,cat -> dog,11,2,7,20,84.61538461538461,65.0
CLIP ViT-B/32 zero-shot,dog -> cat,9,3,8,20,75.0,60.0
CLIP ViT-B/32 zero-shot,deer -> horse,17,3,0,20,85.0,100.0
CLIP ViT-B/32 zero-shot,horse -> deer,16,3,1,20,84.21052631578948,95.0
CLIP ViT-B/32 zero-shot,bird -> monkey,16,3,1,20,84.21052631578948,95.0
CLIP ViT-B/32 zero-shot,monkey -> bird,9,10,1,20,47.36842105263158,95.0
CLIP ViT-B/32 zero-shot,car -> truck,9,11,0,20,45.0,100.0
CLIP ViT-B/32 zero-shot,truck -> car,13,7,0,20,65.0,100.0
CLIP ViT-B/32 zero-shot,airplane -> ship,19,1,0,20,95.0,100.0
CLIP ViT-B/32 zero-shot,ship -> airplane,12,5,3,20,70.58823529411765,85.0
