model,displacement,accuracy,prediction_consistency,accuracy_change_pp
CLIP ViT-B/32 + linear head,0,0.972000002861023,1.0,0.0
CLIP ViT-B/32 + linear head,8,0.9810000061988831,0.9825000017881393,0.9000003337860107
CLIP ViT-B/32 + linear head,16,0.9759999960660934,0.9784999936819077,0.39999932050704956
CLIP ViT-B/32 + linear head,32,0.9695000052452087,0.9805000126361847,-0.2499997615814209
CLIP ViT-B/32 zero-shot,0,0.9679999947547913,1.0,0.0
CLIP ViT-B/32 zero-shot,8,0.9690000116825104,0.9810000061988831,0.10000169277191162
CLIP ViT-B/32 zero-shot,16,0.9725000113248825,0.9795000106096268,0.45000165700912476
CLIP ViT-B/32 zero-shot,32,0.9560000002384186,0.9730000048875809,-1.199999451637268
ResNet-50 + linear head,0,0.9760000109672546,1.0,0.0
ResNet-50 + linear head,8,0.9705000221729279,0.9925000071525574,-0.5499988794326782
ResNet-50 + linear head,16,0.9680000096559525,0.9904999881982803,-0.8000001311302185
ResNet-50 + linear head,32,0.9650000035762787,0.986500009894371,-1.1000007390975952
ViT-B/16 + linear head,0,0.9739999771118164,1.0,0.0
ViT-B/16 + linear head,8,0.9769999980926514,0.9814999997615814,0.3000020980834961
ViT-B/16 + linear head,16,0.9734999984502792,0.9874999970197678,-0.04999786615371704
ViT-B/16 + linear head,32,0.9640000015497208,0.9759999960660934,-0.9999975562095642
